Time;Heap Memory;Total Memory
1004750637265800;191983616;6900957184
1004750696141900;191983616;6900957184
1004751358210100;217616384;6976536576
1004751300353500;217354240;6976360448
1004751985674100;243511296;7049768960
1004751924123800;243511296;7049764864
1004751866549100;242462720;7048785920
1004752552307400;267833344;7122223104
1004752493247100;267833344;7122223104
1004753062794000;117960704;7019597824
1004753119461800;117960704;7019597824
1004753685762900;139137024;7088078848
1004753618138700;136777728;7085789184
1004753743723900;139137024;7088078848
1004754304792600;163983360;7160463360
1004754248015100;163196928;7159881728
1004754881692900;188567552;7232876544
1004754822249300;188567552;7232868352
1004754939829900;188567552;7232876544
1004755469763400;214466560;7307481088
1004755527603100;214466560;7307485184
1004756039713200;239312896;7380508672
1004756097555600;240623616;7381630976
1004756623504900;265211904;7454175232
1004756682444000;265474048;7454683136
1004756740347700;265474048;7454691328
1004757266224000;122703872;7349243904
1004757374959700;122703872;7349243904
1004757320222400;122703872;7349243904
1004757894139000;137347072;7402778624
1004757947088100;137347072;7402778624
1004758576517200;160641024;7465467904
1004758469076800;160641024;7464906752
1004758525289400;160641024;7465467904
1004759097123200;184459264;7528075264
1004759152298200;184459264;7528075264
1004759762816400;207753216;7590825984
1004759827904000;207753216;7590825984
1004759701314700;205393920;7587983360
1004760384918600;231047168;7653523456
1004760437304900;231047168;7653523456
1004760494246400;231047168;7653527552
1004761066224200;254865408;7716114432
1004761116876300;254865408;7716114432
1004761667446800;116690944;7618199552
1004761719670200;116690944;7618199552
1004761771331700;116690944;7618199552
1004762339640000;135004160;7675457536
1004762284217800;135004160;7675457536
1004762395392300;135004160;7675457536
